scenario,n_players,gini_mean,gini_median,gini_sd,hhi_mean,hhi_median,avg_bankruptcies,pct_with_bankruptcy,avg_first_bk_turn,avg_mobility,avg_capital,avg_game_length,pct_reached_cap,avg_wealth_gap,avg_rent_burden,n_games
Baseline,4,0.568219471696111,0.61829195456122,0.203231781514518,0.710447320222584,0.753445102320764,2.26,91,102.582417582418,9.62,86.04,174.4,51,2440.29,0.0105997471574267,100
Extreme_Capitalism,4,0.609660016570409,0.724937883864003,0.194206817011246,0.782641736984509,1,2.49,92,98.1195652173913,10.54,86.84,172.45,37,2234.97,0.0106900875136277,100
Democratic_Socialism,4,0.0548616603596501,0.0498002240857285,0.0237737250648513,0.294505367990818,0.283163265306122,0,0,,11.19,180.49,200,100,1122.53,0.0104455867412598,100
Rent_Control_Only,4,0.5750893010766,0.626273126526563,0.191144874845666,0.706850693106205,0.69799088274363,2.17,91,102.164835164835,9.78,94.44,177.9,54,2286.37,0.00972330106562963,100
UBI_Only,4,0.322504277604895,0.311748708362541,0.123780968450743,0.323700823568999,0.294642857142857,0.51,33,131.181818181818,8.99,131.85,199.67,99,3661.45,0.0106817585019429,100
